x,y,z
-0.5361623136049627,-0.8579151494339671,-0.00003004146344342137
-0.4627865893679235,-0.900713504174212,-0.00003156798723644081
-0.38611553728052717,-0.9370988281089174,-0.00003287219804192599
-0.3067022269768087,-0.9668293684313194,-0.000033945012896439777
-0.22511566911319025,-0.989709813976618,-0.00003477895090944845
-0.14193861757507534,-1.0055918522797782,-0.00003536816003866195
-0.05775774692516364,-1.014375706517984,-0.0000357084784630712
0.026830470947209667,-1.0160086429409176,-0.00003579738950136791
0.11122986687371497,-1.0104863922125604,-0.00003563407901035351
0.19484653331620044,-0.9978525930360226,-0.00003521942324319397
0.27709238061652597,-0.9781984004951382,-0.000034555982423222916
0.3573886510860876,-0.9516618787032421,-0.000033647986618786295
0.43516938607854894,-0.918427180284973,-0.00003250131396180972
